user_id,email,company_name,slug,tagline,industry,location,address,website,contact_number,contact_email,company_logo,banner_image
201,hr@finedge.com,FinEdge Solutions,finedge-solutions,Empowering smarter financial decisions,Finance,Mumbai,"BKC, Mumbai",https://www.finedge.com,9876500001,hr@finedge.com,finedge.png,finedge_banner.jpg
202,info@taxpro.in,TaxPro Advisors,taxpro-advisors,Simplifying taxation,Taxation,Mumbai,"Andheri East, Mumbai",https://www.taxpro.in,9876500002,info@taxpro.in,taxpro.png,taxpro_banner.jpg
203,contact@ledgerworks.in,LedgerWorks,ledgerworks,Accounting made easy,Accounting,Navi Mumbai,"Vashi, Navi Mumbai",https://www.ledgerworks.in,9876500003,contact@ledgerworks.in,ledger.png,ledger_banner.jpg
204,admin@auditsphere.com,AuditSphere,auditsphere,Trust through audit,Auditing,Mumbai,"Lower Parel, Mumbai",https://www.auditsphere.com,9876500004,admin@auditsphere.com,audit.png,audit_banner.jpg
205,careers@marketpulse.in,MarketPulse,marketpulse,Insights that matter,Investment Research,Mumbai,"Nariman Point, Mumbai",https://www.marketpulse.in,9876500005,careers@marketpulse.in,marketpulse.png,marketpulse_banner.jpg
206,hr@databridge.ai,DataBridge Analytics,databridge-analytics,Data to decisions,Business Analytics,Mumbai,"Powai, Mumbai",https://www.databridge.ai,9876500006,hr@databridge.ai,databridge.png,databridge_banner.jpg
207,info@supplychainx.com,SupplyChainX,supplychainx,Logistics optimized,Supply Chain,Navi Mumbai,"Turbhe, Navi Mumbai",https://www.supplychainx.com,9876500007,info@supplychainx.com,scx.png,scx_banner.jpg
208,hr@peoplefirsthr.in,PeopleFirst HR,peoplefirst-hr,People powered growth,HR,Mumbai,"Dadar West, Mumbai",https://www.peoplefirsthr.in,9876500008,hr@peoplefirsthr.in,peoplefirst.png,peoplefirst_banner.jpg
209,hello@brandspark.in,BrandSpark,brandspark,Digital growth partners,Digital Marketing,Mumbai,"Goregaon East, Mumbai",https://www.brandspark.in,9876500009,hello@brandspark.in,brandspark.png,brandspark_banner.jpg
210,careers@finmodellabs.com,FinModel Labs,finmodel-labs,Future-ready finance,Financial Modeling,Mumbai,"Lower Parel, Mumbai",https://www.finmodellabs.com,9876500010,careers@finmodellabs.com,finmodel.png,finmodel_banner.jpg
211,info@bizopsstudio.in,BizOps Studio,bizops-studio,Smarter operations,Business Operations,Mumbai,"Kurla West, Mumbai",https://www.bizopsstudio.in,9876500011,info@bizopsstudio.in,bizops.png,bizops_banner.jpg
212,hr@equitrust.in,EquiTrust,equitrust,Equity research simplified,Equity Research,Mumbai,"Fort, Mumbai",https://www.equitrust.in,9876500012,hr@equitrust.in,equitrust.png,equitrust_banner.jpg
213,contact@riskshield.in,RiskShield,riskshield,Managing risk better,Risk Management,Navi Mumbai,"Belapur, Navi Mumbai",https://www.riskshield.in,9876500013,contact@riskshield.in,riskshield.png,riskshield_banner.jpg
214,support@insureease.in,InsureEase,insureease,Insurance made simple,Insurance,Mumbai,"Malad West, Mumbai",https://www.insureease.in,9876500014,support@insureease.in,insureease.png,insureease_banner.jpg
215,advisor@wealthnest.in,WealthNest,wealthnest,Grow your wealth,Wealth Management,Mumbai,"Powai, Mumbai",https://www.wealthnest.in,9876500015,advisor@wealthnest.in,wealthnest.png,wealthnest_banner.jpg
216,info@logicore.in,LogiCore,logicore,Smart logistics,Logistics,Navi Mumbai,"Panvel, Navi Mumbai",https://www.logicore.in,9876500016,info@logicore.in,logicore.png,logicore_banner.jpg
217,hr@supplypro.in,SupplyPro,supplypro,Supply chain excellence,Supply Chain,Mumbai,"Bhiwandi, Mumbai",https://www.supplypro.in,9876500017,hr@supplypro.in,supplypro.png,supplypro_banner.jpg
